ID,Origin,Description,Parameter,Data Type,Polling Interval,Retention Time,Status,Thresholds,Template,Related Object
3355,NetXMS Agent,"Enduro/X queue /test1,srv,reply,debitsv,107,22347: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,debitsv,107,22347')",String,default,default,Active,,testhost2,
3354,NetXMS Agent,"Enduro/X queue /test1,srv,reply,debitsv,108,22361: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,debitsv,108,22361')",String,default,default,Active,,testhost2,
3353,NetXMS Agent,"Enduro/X queue /test1,srv,reply,debitsv,109,22375: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,debitsv,109,22375')",String,default,default,Active,,testhost2,
3352,NetXMS Agent,"Enduro/X queue /test1,srv,reply,debitsv,110,22389: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,debitsv,110,22389')",String,default,default,Active,,testhost2,
3351,NetXMS Agent,"Enduro/X queue /test1,srv,reply,debitsv,111,22403: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,debitsv,111,22403')",String,default,default,Active,,testhost2,
3350,NetXMS Agent,"Enduro/X queue /test1,srv,reply,debitsv,112,22417: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,debitsv,112,22417')",String,default,default,Active,,testhost2,
3349,NetXMS Agent,"Enduro/X queue /test1,srv,reply,debitsv,113,22433: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,debitsv,113,22433')",String,default,default,Active,,testhost2,
3348,NetXMS Agent,"Enduro/X queue /test1,srv,reply,debitsv,114,22447: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,debitsv,114,22447')",String,default,default,Active,,testhost2,
3347,NetXMS Agent,"Enduro/X queue /test1,srv,reply,debitsv,115,22461: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,debitsv,115,22461')",String,default,default,Active,,testhost2,
3346,NetXMS Agent,"Enduro/X queue /test1,srv,reply,debitsv,116,22476: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,debitsv,116,22476')",String,default,default,Active,,testhost2,
3345,NetXMS Agent,"Enduro/X queue /test1,srv,reply,debitsv,117,22491: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,debitsv,117,22491')",String,default,default,Active,,testhost2,
3344,NetXMS Agent,"Enduro/X queue /test1,srv,reply,debitsv,118,22505: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,debitsv,118,22505')",String,default,default,Active,,testhost2,
3343,NetXMS Agent,"Enduro/X queue /test1,srv,reply,debitsv,119,22519: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,debitsv,119,22519')",String,default,default,Active,,testhost2,
3342,NetXMS Agent,"Enduro/X queue /test1,srv,reply,debitsv,80,21916: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,debitsv,80,21916')",String,default,default,Active,,testhost2,
3341,NetXMS Agent,"Enduro/X queue /test1,srv,reply,debitsv,81,21930: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,debitsv,81,21930')",String,default,default,Active,,testhost2,
3340,NetXMS Agent,"Enduro/X queue /test1,srv,reply,debitsv,82,21945: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,debitsv,82,21945')",String,default,default,Active,,testhost2,
3339,NetXMS Agent,"Enduro/X queue /test1,srv,reply,debitsv,83,21960: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,debitsv,83,21960')",String,default,default,Active,,testhost2,
3338,NetXMS Agent,"Enduro/X queue /test1,srv,reply,debitsv,84,21974: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,debitsv,84,21974')",String,default,default,Active,,testhost2,
3337,NetXMS Agent,"Enduro/X queue /test1,srv,reply,debitsv,85,21988: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,debitsv,85,21988')",String,default,default,Active,,testhost2,
3336,NetXMS Agent,"Enduro/X queue /test1,srv,reply,debitsv,86,22003: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,debitsv,86,22003')",String,default,default,Active,,testhost2,
3335,NetXMS Agent,"Enduro/X queue /test1,srv,reply,debitsv,87,22017: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,debitsv,87,22017')",String,default,default,Active,,testhost2,
3334,NetXMS Agent,"Enduro/X queue /test1,srv,reply,debitsv,88,22065: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,debitsv,88,22065')",String,default,default,Active,,testhost2,
3333,NetXMS Agent,"Enduro/X queue /test1,srv,reply,debitsv,89,22079: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,debitsv,89,22079')",String,default,default,Active,,testhost2,
3332,NetXMS Agent,"Enduro/X queue /test1,srv,reply,debitsv,90,22094: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,debitsv,90,22094')",String,default,default,Active,,testhost2,
3331,NetXMS Agent,"Enduro/X queue /test1,srv,reply,debitsv,91,22119: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,debitsv,91,22119')",String,default,default,Active,,testhost2,
3330,NetXMS Agent,"Enduro/X queue /test1,srv,reply,debitsv,92,22134: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,debitsv,92,22134')",String,default,default,Active,,testhost2,
3329,NetXMS Agent,"Enduro/X queue /test1,srv,reply,debitsv,93,22148: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,debitsv,93,22148')",String,default,default,Active,,testhost2,
